ets,iso,co2_2019_mt,abate_share,abate_mt
20,CY,1.051496169,-0.014905623444981586,-0.01567320594895472
20,CZ,1.43947165,-0.014905623444981586,-0.021456222374626327
20,DE,31.089433908,-0.014905623444981586,-0.4634073949502903
20,DK,3.1007603390000003,-0.014905623444981586,-0.04621876600626745
20,EE,0.210027185,-0.014905623444981586,-0.003130586132819485
20,EL,4.430024401,-0.014905623444981586,-0.0660322755733861
20,ES,22.036524182999997,-0.014905623444981586,-0.32846813150802845
20,FI,2.675334307,-0.014905623444981586,-0.03987752576958276
20,FR,22.402052039,-0.014905623444981586,-0.33391655208821597
20,GB,37.299134185999996,-0.014905623444981586,-0.5559668490003558
20,HR,0.7095893449999999,-0.014905623444981586,-0.010576871577141126
20,HU,1.102381928,-0.014905623444981586,-0.016431689911320803
20,IE,3.304912457,-0.014905623444981586,-0.0492617806026709
20,IS,0.516600534,-0.014905623444981586,-0.007700253031280406
20,IT,15.106921478,-0.014905623444981586,-0.22517808296397268
20,LI,1.767e-06,-0.014905623444981586,-2.633823662728246e-08
20,LT,0.393580497,-0.014905623444981586,-0.005866562683570704
20,LU,1.772959277,-0.014905623444981586,-0.026427063366248803
20,LV,0.494257553,-0.014905623444981586,-0.007367216969856029
20,MT,0.5182756660000001,-0.014905623444981586,-0.007725221918093047
20,NL,11.144285299,-0.014905623444981586,-0.166112520230338
20,NO,3.113181945,-0.014905623444981586,-0.04640391778788538
20,PL,3.266972499,-0.014905623444981586,-0.04869626187520448
20,PT,5.256608541,-0.014905623444981586,-0.07835302750982005
20,RO,1.4745418529999998,-0.014905623444981586,-0.02197896561468339
20,SE,3.234225659,-0.014905623444981586,-0.04820814980915142
20,SI,0.11661393099999999,-0.014905623444981586,-0.0017382033439250649
20,SK,0.190339292,-0.014905623444981586,-0.002837125813336396
30,AT,3.114972593,0.012501823765046494,0.0389428383906359
30,BE,4.879818683,0.012501823765046494,0.06100663318024728
30,BG,0.799939346,0.012501823765046494,0.01000070072641855
30,CH,5.823362078,0.012501823765046494,0.07280264641921093
30,CY,1.051496169,0.012501823765046494,0.013145619794459544
30,CZ,1.43947165,0.012501823765046494,0.01799602088308069
30,DE,31.089433908,0.012501823765046494,0.3886746236728767
30,DK,3.1007603390000003,0.012501823765046494,0.038765159295823824
30,EE,0.210027185,0.012501823765046494,0.0026257228527388167
30,EL,4.430024401,0.012501823765046494,0.05538338433615766
30,ES,22.036524182999997,0.012501823765046494,0.2754967417300511
30,FI,2.675334307,0.012501823765046494,0.03344655801869679
30,FR,22.402052039,0.012501823765046494,0.28006650656697846
30,GB,37.299134185999996,0.012501823765046494,0.46630720218219285
30,HR,0.7095893449999999,0.012501823765046494,0.008871160936744775
30,HU,1.102381928,0.012501823765046494,0.013781784585628173
30,IE,3.304912457,0.012501823765046494,0.0413174330963208
30,IS,0.516600534,0.012501823765046494,0.006458448832996909
30,IT,15.106921478,0.012501823765046494,0.1888640699503517
30,LI,1.767e-06,0.012501823765046494,2.2090722592837155e-08
30,LT,0.393580497,0.012501823765046494,0.0049204740108534095
30,LU,1.772959277,0.012501823765046494,0.022165224423658248
30,LV,0.494257553,0.012501823765046494,0.006179120822149127
30,MT,0.5182756660000001,0.012501823765046494,0.0064793910380441
30,NL,11.144285299,0.012501823765046494,0.13932389079549648
30,NO,3.113181945,0.012501823765046494,0.03892045202491467
30,PL,3.266972499,0.012501823765046494,0.04084311442775153
30,PT,5.256608541,0.012501823765046494,0.06571719358142018
30,RO,1.4745418529999998,0.012501823765046494,0.018434462380391092
30,SE,3.234225659,0.012501823765046494,0.040433719205209356
30,SI,0.11661393099999999,0.012501823765046494,0.001457886813911292
30,SK,0.190339292,0.012501823765046494,0.0023795882841477238
50,AT,3.114972593,0.04597998906316869,0.14322640575821022
50,BE,4.879818683,0.04597998906316869,0.22437400967458623
50,BG,0.799939346,0.04597998906316869,0.036781202380278315
50,CH,5.823362078,0.04597998906316869,0.2677581246573113
50,CY,1.051496169,0.04597998906316869,0.048347782350583776
50,CZ,1.43947165,0.04597998906316869,0.06618689072374138
50,DE,31.089433908,0.04597998906316869,1.4294918310699458
50,DK,3.1007603390000003,0.04597998906316869,0.14257292647472725
50,EE,0.210027185,0.04597998906316869,0.009657047669268108
50,EL,4.430024401,0.04597998906316869,0.20369247350755043
50,ES,22.036524182999997,0.04597998906316869,1.0132391409245922
50,FI,2.675334307,0.04597998906316869,0.12301184217617998
50,FR,22.402052039,0.04597998906316869,1.030046107745756
50,GB,37.299134185999996,0.04597998906316869,1.7150137819379412
50,HR,0.7095893449999999,0.04597998906316869,0.032626910322441034
50,HU,1.102381928,0.04597998906316869,0.050687508992874816
