year,country_code,citl_information,value,unit,version
2021,FI,4. Total surrendered units,340489,units,81
2012,FI,4.1 Surrendered EU allowances (EUAs and EUAAs),1047479,units,81
2014,FI,4.1 Surrendered EU allowances (EUAs and EUAAs),1807894,units,81
2015,FI,4.1 Surrendered EU allowances (EUAs and EUAAs),952958,units,81
2016,FI,4.1 Surrendered EU allowances (EUAs and EUAAs),988868,units,81
2017,FI,4.1 Surrendered EU allowances (EUAs and EUAAs),1051965,units,81
2018,FI,4.1 Surrendered EU allowances (EUAs and EUAAs),1170188,units,81
2019,FI,4.1 Surrendered EU allowances (EUAs and EUAAs),1252207,units,81
2020,FI,4.1 Surrendered EU allowances (EUAs and EUAAs),390484,units,81
2021,FI,4.1 Surrendered EU allowances (EUAs and EUAAs),330592,units,81
2012,FI,4.2 Surrendered certified emission reductions (CERs),138534,units,81
2020,FI,4.4 Surrendered Units CHU/CHUAA,10342,units,81
2021,FI,4.4 Surrendered Units CHU/CHUAA,9897,units,81
2012,FR,1. Total allocated allowances (EUA or EUAA),12986777.08816785,units,81
2013,FR,1. Total allocated allowances (EUA or EUAA),2103332,units,81
2014,FR,1. Total allocated allowances (EUA or EUAA),3768006,units,81
2015,FR,1. Total allocated allowances (EUA or EUAA),3824822,units,81
2016,FR,1. Total allocated allowances (EUA or EUAA),2679282,units,81
2017,FR,1. Total allocated allowances (EUA or EUAA),2545215,units,81
2018,FR,1. Total allocated allowances (EUA or EUAA),2637731,units,81
2019,FR,1. Total allocated allowances (EUA or EUAA),2588387,units,81
2020,FR,1. Total allocated allowances (EUA or EUAA),2554481,units,81
2021,FR,1. Total allocated allowances (EUA or EUAA),2239202,units,81
2012,FR,1.1 Freely allocated allowances,25284355,units,81
2013,FR,1.1 Freely allocated allowances,2103332,units,81
2014,FR,1.1 Freely allocated allowances,2094006,units,81
2015,FR,1.1 Freely allocated allowances,2093822,units,81
2016,FR,1.1 Freely allocated allowances,2046782,units,81
2017,FR,1.1 Freely allocated allowances,2047215,units,81
2018,FR,1.1 Freely allocated allowances,2047231,units,81
2019,FR,1.1 Freely allocated allowances,1997387,units,81
2020,FR,1.1 Freely allocated allowances,1986981,units,81
2021,FR,1.1 Freely allocated allowances,1812702,units,81
2012,FR,1.1.1 Free allocation to existing entities (Art. 10a(1)),25284355,units,81
2013,FR,1.1.1 Free allocation to existing entities (Art. 10a(1)),2103332,units,81
2014,FR,1.1.1 Free allocation to existing entities (Art. 10a(1)),2094006,units,81
2015,FR,1.1.1 Free allocation to existing entities (Art. 10a(1)),2093822,units,81
2016,FR,1.1.1 Free allocation to existing entities (Art. 10a(1)),2046782,units,81
2017,FR,1.1.1 Free allocation to existing entities (Art. 10a(1)),2047215,units,81
2018,FR,1.1.1 Free allocation to existing entities (Art. 10a(1)),2047231,units,81
2019,FR,1.1.1 Free allocation to existing entities (Art. 10a(1)),1997387,units,81
2020,FR,1.1.1 Free allocation to existing entities (Art. 10a(1)),1968315,units,81
2021,FR,1.1.1 Free allocation to existing entities (Art. 10a(1)),1794752,units,81
2020,FR,1.1.4 Swiss Free Allocated allowances for aircraft operators,18666,units,81
2021,FR,1.1.4 Swiss Free Allocated allowances for aircraft operators,17950,units,81
2012,FR,1.2 Correction to freely allocated allowances (not reflected in EUTL),-12297577.91183215,units,81
2012,FR,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2013,FR,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2014,FR,1.3 Allowances auctioned or sold (EUAs and EUAAs),1674000,units,81
2015,FR,1.3 Allowances auctioned or sold (EUAs and EUAAs),1731000,units,81
2016,FR,1.3 Allowances auctioned or sold (EUAs and EUAAs),632500,units,81
2017,FR,1.3 Allowances auctioned or sold (EUAs and EUAAs),498000,units,81
2018,FR,1.3 Allowances auctioned or sold (EUAs and EUAAs),590500,units,81
2019,FR,1.3 Allowances auctioned or sold (EUAs and EUAAs),591000,units,81
2020,FR,1.3 Allowances auctioned or sold (EUAs and EUAAs),567500,units,81
2021,FR,1.3 Allowances auctioned or sold (EUAs and EUAAs),426500,units,81
2012,FR,2. Verified emissions,9832156,tonne of CO2 equ.,81
2013,FR,2. Verified emissions,4153800,tonne of CO2 equ.,81
2014,FR,2. Verified emissions,3956155,tonne of CO2 equ.,81
2015,FR,2. Verified emissions,4055404,tonne of CO2 equ.,81
2016,FR,2. Verified emissions,4067686,tonne of CO2 equ.,81
2017,FR,2. Verified emissions,4178059,tonne of CO2 equ.,81
2018,FR,2. Verified emissions,4237451,tonne of CO2 equ.,81
2019,FR,2. Verified emissions,4221394,tonne of CO2 equ.,81
2020,FR,2. Verified emissions,1859301,tonne of CO2 equ.,81
2021,FR,2. Verified emissions,2262074,tonne of CO2 equ.,81
2012,FR,2.1 EU-ETS Verified Emission,9832156,tonne of CO2 equ.,81
2013,FR,2.1 EU-ETS Verified Emission,4153800,tonne of CO2 equ.,81
2014,FR,2.1 EU-ETS Verified Emission,3956155,tonne of CO2 equ.,81
2015,FR,2.1 EU-ETS Verified Emission,4055404,tonne of CO2 equ.,81
2016,FR,2.1 EU-ETS Verified Emission,4067686,tonne of CO2 equ.,81
2017,FR,2.1 EU-ETS Verified Emission,4178059,tonne of CO2 equ.,81
2018,FR,2.1 EU-ETS Verified Emission,4237451,tonne of CO2 equ.,81
2019,FR,2.1 EU-ETS Verified Emission,4221394,tonne of CO2 equ.,81
2020,FR,2.1 EU-ETS Verified Emission,1843380,tonne of CO2 equ.,81
2021,FR,2.1 EU-ETS Verified Emission,2246318,tonne of CO2 equ.,81
2020,FR,2.2 Swiss Verified Emissions for aircraft operators,15921,tonne of CO2 equ.,81
2021,FR,2.2 Swiss Verified Emissions for aircraft operators,15756,tonne of CO2 equ.,81
2012,FR,4. Total surrendered units,9793335,units,81
2013,FR,4. Total surrendered units,25673,units,81
2014,FR,4. Total surrendered units,7985750,units,81
2015,FR,4. Total surrendered units,4006060,units,81
2016,FR,4. Total surrendered units,4210032,units,81
2017,FR,4. Total surrendered units,4205734,units,81
2018,FR,4. Total surrendered units,4223976,units,81
2019,FR,4. Total surrendered units,4203587,units,81
2020,FR,4. Total surrendered units,1864134,units,81
2021,FR,4. Total surrendered units,2235118,units,81
2012,FR,4.1 Surrendered EU allowances (EUAs and EUAAs),8628743,units,81
2013,FR,4.1 Surrendered EU allowances (EUAs and EUAAs),25673,units,81
2014,FR,4.1 Surrendered EU allowances (EUAs and EUAAs),7985750,units,81
2015,FR,4.1 Surrendered EU allowances (EUAs and EUAAs),4006060,units,81
2016,FR,4.1 Surrendered EU allowances (EUAs and EUAAs),4210032,units,81
2017,FR,4.1 Surrendered EU allowances (EUAs and EUAAs),4205734,units,81
2018,FR,4.1 Surrendered EU allowances (EUAs and EUAAs),4223976,units,81
2019,FR,4.1 Surrendered EU allowances (EUAs and EUAAs),4203587,units,81
2020,FR,4.1 Surrendered EU allowances (EUAs and EUAAs),1845865,units,81
2021,FR,4.1 Surrendered EU allowances (EUAs and EUAAs),2221997,units,81
2012,FR,4.2 Surrendered certified emission reductions (CERs),553099,units,81
2012,FR,4.3 Surrendered emission reduction units (ERUs),611493,units,81
2020,FR,4.4 Surrendered Units CHU/CHUAA,18269,units,81
2021,FR,4.4 Surrendered Units CHU/CHUAA,13121,units,81
2012,GB,1. Total allocated allowances (EUA or EUAA),-31268110.54465247,units,81
2013,GB,1. Total allocated allowances (EUA or EUAA),4103267,units,81
2014,GB,1. Total allocated allowances (EUA or EUAA),4102623,units,81
2015,GB,1. Total allocated allowances (EUA or EUAA),4102328,units,81
2016,GB,1. Total allocated allowances (EUA or EUAA),4097526,units,81
2017,GB,1. Total allocated allowances (EUA or EUAA),4097487,units,81
2018,GB,1. Total allocated allowances (EUA or EUAA),3614580,units,81
2019,GB,1. Total allocated allowances (EUA or EUAA),671962,units,81
2020,GB,1. Total allocated allowances (EUA or EUAA),565286,units,81
2021,GB,1. Total allocated allowances (EUA or EUAA),0,units,81
2012,GB,1.1 Freely allocated allowances,10656298,units,81
2013,GB,1.1 Freely allocated allowances,4103267,units,81
2014,GB,1.1 Freely allocated allowances,4102623,units,81
2015,GB,1.1 Freely allocated allowances,4102328,units,81
2016,GB,1.1 Freely allocated allowances,4097526,units,81
2017,GB,1.1 Freely allocated allowances,4097487,units,81
2018,GB,1.1 Freely allocated allowances,3614580,units,81
2019,GB,1.1 Freely allocated allowances,671962,units,81
2020,GB,1.1 Freely allocated allowances,565286,units,81
2012,GB,1.1.1 Free allocation to existing entities (Art. 10a(1)),10656298,units,81
2013,GB,1.1.1 Free allocation to existing entities (Art. 10a(1)),4103267,units,81
2014,GB,1.1.1 Free allocation to existing entities (Art. 10a(1)),4102623,units,81
2015,GB,1.1.1 Free allocation to existing entities (Art. 10a(1)),4102328,units,81
2016,GB,1.1.1 Free allocation to existing entities (Art. 10a(1)),4097526,units,81
2017,GB,1.1.1 Free allocation to existing entities (Art. 10a(1)),4097487,units,81
2018,GB,1.1.1 Free allocation to existing entities (Art. 10a(1)),3614580,units,81
2019,GB,1.1.1 Free allocation to existing entities (Art. 10a(1)),671962,units,81
2020,GB,1.1.1 Free allocation to existing entities (Art. 10a(1)),564805,units,81
2020,GB,1.1.4 Swiss Free Allocated allowances for aircraft operators,481,units,81
2012,GB,1.2 Correction to freely allocated allowances (not reflected in EUTL),-41924408.54465247,units,81
2012,GB,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2013,GB,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2014,GB,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2015,GB,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2016,GB,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2017,GB,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2018,GB,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2019,GB,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2020,GB,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2021,GB,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2012,GB,2. Verified emissions,9645333,tonne of CO2 equ.,81
2013,GB,2. Verified emissions,6064173,tonne of CO2 equ.,81
2014,GB,2. Verified emissions,6183188,tonne of CO2 equ.,81
2015,GB,2. Verified emissions,6353083,tonne of CO2 equ.,81
2016,GB,2. Verified emissions,6912136,tonne of CO2 equ.,81
2017,GB,2. Verified emissions,7324178,tonne of CO2 equ.,81
2018,GB,2. Verified emissions,4148125,tonne of CO2 equ.,81
2019,GB,2. Verified emissions,1114199,tonne of CO2 equ.,81
2020,GB,2. Verified emissions,219580,tonne of CO2 equ.,81
2012,GB,2.1 EU-ETS Verified Emission,9645333,tonne of CO2 equ.,81
2013,GB,2.1 EU-ETS Verified Emission,6064173,tonne of CO2 equ.,81
2014,GB,2.1 EU-ETS Verified Emission,6183188,tonne of CO2 equ.,81
2015,GB,2.1 EU-ETS Verified Emission,6353083,tonne of CO2 equ.,81
2016,GB,2.1 EU-ETS Verified Emission,6912136,tonne of CO2 equ.,81
2017,GB,2.1 EU-ETS Verified Emission,7324178,tonne of CO2 equ.,81
2018,GB,2.1 EU-ETS Verified Emission,4148125,tonne of CO2 equ.,81
2019,GB,2.1 EU-ETS Verified Emission,1114199,tonne of CO2 equ.,81
2020,GB,2.1 EU-ETS Verified Emission,218689,tonne of CO2 equ.,81
2020,GB,2.2 Swiss Verified Emissions for aircraft operators,891,tonne of CO2 equ.,81
2012,GB,4. Total surrendered units,9625563,units,81
2013,GB,4. Total surrendered units,8129,units,81
2014,GB,4. Total surrendered units,12353800,units,81
2015,GB,4. Total surrendered units,6350479,units,81
2016,GB,4. Total surrendered units,6818118,units,81
2017,GB,4. Total surrendered units,6734733,units,81
2018,GB,4. Total surrendered units,4252506,units,81
2019,GB,4. Total surrendered units,277238,units,81
2020,GB,4. Total surrendered units,146455,units,81
2012,GB,4.1 Surrendered EU allowances (EUAs and EUAAs),8383595,units,81
2013,GB,4.1 Surrendered EU allowances (EUAs and EUAAs),8129,units,81
2014,GB,4.1 Surrendered EU allowances (EUAs and EUAAs),12353800,units,81
2015,GB,4.1 Surrendered EU allowances (EUAs and EUAAs),6350479,units,81
2016,GB,4.1 Surrendered EU allowances (EUAs and EUAAs),6818118,units,81
2017,GB,4.1 Surrendered EU allowances (EUAs and EUAAs),6734733,units,81
2018,GB,4.1 Surrendered EU allowances (EUAs and EUAAs),4252506,units,81
2019,GB,4.1 Surrendered EU allowances (EUAs and EUAAs),277238,units,81
2020,GB,4.1 Surrendered EU allowances (EUAs and EUAAs),146452,units,81
2012,GB,4.2 Surrendered certified emission reductions (CERs),821324,units,81
2012,GB,4.3 Surrendered emission reduction units (ERUs),420644,units,81
2020,GB,4.4 Surrendered Units CHU/CHUAA,3,units,81
2012,GR,1. Total allocated allowances (EUA or EUAA),691074.6307744503,units,81
2013,GR,1. Total allocated allowances (EUA or EUAA),607343,units,81
2014,GR,1. Total allocated allowances (EUA or EUAA),790342,units,81
2015,GR,1. Total allocated allowances (EUA or EUAA),1316842,units,81
2016,GR,1. Total allocated allowances (EUA or EUAA),866842,units,81
2017,GR,1. Total allocated allowances (EUA or EUAA),815186,units,81
2018,GR,1. Total allocated allowances (EUA or EUAA),856280,units,81
2019,GR,1. Total allocated allowances (EUA or EUAA),856142,units,81
2020,GR,1. Total allocated allowances (EUA or EUAA),862859,units,81
2021,GR,1. Total allocated allowances (EUA or EUAA),770175,units,81
2012,GR,1.1 Freely allocated allowances,717685,units,81
2013,GR,1.1 Freely allocated allowances,607343,units,81
2014,GR,1.1 Freely allocated allowances,607342,units,81
2015,GR,1.1 Freely allocated allowances,607342,units,81
2016,GR,1.1 Freely allocated allowances,607342,units,81
2017,GR,1.1 Freely allocated allowances,610686,units,81
2018,GR,1.1 Freely allocated allowances,614280,units,81
2019,GR,1.1 Freely allocated allowances,613642,units,81
2020,GR,1.1 Freely allocated allowances,629859,units,81
2021,GR,1.1 Freely allocated allowances,572675,units,81
2012,GR,1.1.1 Free allocation to existing entities (Art. 10a(1)),717685,units,81
2013,GR,1.1.1 Free allocation to existing entities (Art. 10a(1)),607343,units,81
2014,GR,1.1.1 Free allocation to existing entities (Art. 10a(1)),607342,units,81
2015,GR,1.1.1 Free allocation to existing entities (Art. 10a(1)),607342,units,81
2016,GR,1.1.1 Free allocation to existing entities (Art. 10a(1)),607342,units,81
2017,GR,1.1.1 Free allocation to existing entities (Art. 10a(1)),607342,units,81
2018,GR,1.1.1 Free allocation to existing entities (Art. 10a(1)),610298,units,81
2019,GR,1.1.1 Free allocation to existing entities (Art. 10a(1)),610298,units,81
2020,GR,1.1.1 Free allocation to existing entities (Art. 10a(1)),610377,units,81
2021,GR,1.1.1 Free allocation to existing entities (Art. 10a(1)),556892,units,81
2017,GR,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),3344,units,81
2018,GR,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),3982,units,81
2019,GR,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),3344,units,81
2020,GR,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),3344,units,81
2020,GR,1.1.4 Swiss Free Allocated allowances for aircraft operators,16138,units,81
2021,GR,1.1.4 Swiss Free Allocated allowances for aircraft operators,15783,units,81
2012,GR,1.2 Correction to freely allocated allowances (not reflected in EUTL),-26610.36922554974,units,81
2012,GR,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2013,GR,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2014,GR,1.3 Allowances auctioned or sold (EUAs and EUAAs),183000,units,81
2015,GR,1.3 Allowances auctioned or sold (EUAs and EUAAs),709500,units,81
2016,GR,1.3 Allowances auctioned or sold (EUAs and EUAAs),259500,units,81
2017,GR,1.3 Allowances auctioned or sold (EUAs and EUAAs),204500,units,81
2018,GR,1.3 Allowances auctioned or sold (EUAs and EUAAs),242000,units,81
2019,GR,1.3 Allowances auctioned or sold (EUAs and EUAAs),242500,units,81
2020,GR,1.3 Allowances auctioned or sold (EUAs and EUAAs),233000,units,81
2021,GR,1.3 Allowances auctioned or sold (EUAs and EUAAs),197500,units,81
2012,GR,2. Verified emissions,792521,tonne of CO2 equ.,81
2013,GR,2. Verified emissions,735486,tonne of CO2 equ.,81
2014,GR,2. Verified emissions,824112,tonne of CO2 equ.,81
2015,GR,2. Verified emissions,952885,tonne of CO2 equ.,81
2016,GR,2. Verified emissions,1035881,tonne of CO2 equ.,81
2017,GR,2. Verified emissions,1083288,tonne of CO2 equ.,81
2018,GR,2. Verified emissions,1156450,tonne of CO2 equ.,81
2019,GR,2. Verified emissions,1220992,tonne of CO2 equ.,81
2020,GR,2. Verified emissions,496260,tonne of CO2 equ.,81
2021,GR,2. Verified emissions,737790,tonne of CO2 equ.,81
2012,GR,2.1 EU-ETS Verified Emission,792521,tonne of CO2 equ.,81
2013,GR,2.1 EU-ETS Verified Emission,735486,tonne of CO2 equ.,81
2014,GR,2.1 EU-ETS Verified Emission,824112,tonne of CO2 equ.,81
2015,GR,2.1 EU-ETS Verified Emission,952885,tonne of CO2 equ.,81
2016,GR,2.1 EU-ETS Verified Emission,1035881,tonne of CO2 equ.,81
2017,GR,2.1 EU-ETS Verified Emission,1083288,tonne of CO2 equ.,81
2018,GR,2.1 EU-ETS Verified Emission,1156450,tonne of CO2 equ.,81
2019,GR,2.1 EU-ETS Verified Emission,1220992,tonne of CO2 equ.,81
2020,GR,2.1 EU-ETS Verified Emission,487017,tonne of CO2 equ.,81
2021,GR,2.1 EU-ETS Verified Emission,722906,tonne of CO2 equ.,81
2020,GR,2.2 Swiss Verified Emissions for aircraft operators,9243,tonne of CO2 equ.,81
2021,GR,2.2 Swiss Verified Emissions for aircraft operators,14884,tonne of CO2 equ.,81
2012,GR,4. Total surrendered units,791080,units,81
2013,GR,4. Total surrendered units,172,units,81
2014,GR,4. Total surrendered units,1500402,units,81
2015,GR,4. Total surrendered units,934768,units,81
2016,GR,4. Total surrendered units,1011070,units,81
2017,GR,4. Total surrendered units,1041081,units,81
2018,GR,4. Total surrendered units,1156222,units,81
2019,GR,4. Total surrendered units,1220488,units,81
2020,GR,4. Total surrendered units,529217,units,81
2021,GR,4. Total surrendered units,737337,units,81
2012,GR,4.1 Surrendered EU allowances (EUAs and EUAAs),674349,units,81
2013,GR,4.1 Surrendered EU allowances (EUAs and EUAAs),172,units,81
2014,GR,4.1 Surrendered EU allowances (EUAs and EUAAs),1500402,units,81
2015,GR,4.1 Surrendered EU allowances (EUAs and EUAAs),934768,units,81
2016,GR,4.1 Surrendered EU allowances (EUAs and EUAAs),1011070,units,81
2017,GR,4.1 Surrendered EU allowances (EUAs and EUAAs),1041081,units,81
2018,GR,4.1 Surrendered EU allowances (EUAs and EUAAs),1156222,units,81
2019,GR,4.1 Surrendered EU allowances (EUAs and EUAAs),1220488,units,81
2020,GR,4.1 Surrendered EU allowances (EUAs and EUAAs),520016,units,81
2021,GR,4.1 Surrendered EU allowances (EUAs and EUAAs),722515,units,81
2012,GR,4.2 Surrendered certified emission reductions (CERs),26232,units,81
2012,GR,4.3 Surrendered emission reduction units (ERUs),90499,units,81
2020,GR,4.4 Surrendered Units CHU/CHUAA,9201,units,81
2021,GR,4.4 Surrendered Units CHU/CHUAA,14822,units,81
2012,HR,1. Total allocated allowances (EUA or EUAA),66442,units,81
2013,HR,1. Total allocated allowances (EUA or EUAA),62717,units,81
2014,HR,1. Total allocated allowances (EUA or EUAA),85828,units,81
2015,HR,1. Total allocated allowances (EUA or EUAA),154828,units,81
2016,HR,1. Total allocated allowances (EUA or EUAA),116828,units,81
2017,HR,1. Total allocated allowances (EUA or EUAA),110828,units,81
2018,HR,1. Total allocated allowances (EUA or EUAA),114828,units,81
2019,HR,1. Total allocated allowances (EUA or EUAA),115328,units,81
2020,HR,1. Total allocated allowances (EUA or EUAA),119506,units,81
2021,HR,1. Total allocated allowances (EUA or EUAA),103645,units,81
2012,HR,1.1 Freely allocated allowances,66442,units,81
2013,HR,1.1 Freely allocated allowances,62717,units,81
2014,HR,1.1 Freely allocated allowances,85828,units,81
2015,HR,1.1 Freely allocated allowances,85828,units,81
2016,HR,1.1 Freely allocated allowances,85828,units,81
2017,HR,1.1 Freely allocated allowances,85828,units,81
2018,HR,1.1 Freely allocated allowances,85828,units,81
2019,HR,1.1 Freely allocated allowances,85828,units,81
2020,HR,1.1 Freely allocated allowances,91506,units,81
2021,HR,1.1 Freely allocated allowances,74645,units,81
2012,HR,1.1.1 Free allocation to existing entities (Art. 10a(1)),66442,units,81
2013,HR,1.1.1 Free allocation to existing entities (Art. 10a(1)),62717,units,81
2014,HR,1.1.1 Free allocation to existing entities (Art. 10a(1)),85828,units,81
2015,HR,1.1.1 Free allocation to existing entities (Art. 10a(1)),85828,units,81
2016,HR,1.1.1 Free allocation to existing entities (Art. 10a(1)),85828,units,81
2017,HR,1.1.1 Free allocation to existing entities (Art. 10a(1)),85828,units,81
2018,HR,1.1.1 Free allocation to existing entities (Art. 10a(1)),85828,units,81
2019,HR,1.1.1 Free allocation to existing entities (Art. 10a(1)),85828,units,81
2020,HR,1.1.1 Free allocation to existing entities (Art. 10a(1)),88551,units,81
2021,HR,1.1.1 Free allocation to existing entities (Art. 10a(1)),71755,units,81
2020,HR,1.1.4 Swiss Free Allocated allowances for aircraft operators,2955,units,81
2021,HR,1.1.4 Swiss Free Allocated allowances for aircraft operators,2890,units,81
2012,HR,1.2 Correction to freely allocated allowances (not reflected in EUTL),0,units,81
2012,HR,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2013,HR,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2014,HR,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2015,HR,1.3 Allowances auctioned or sold (EUAs and EUAAs),69000,units,81
2016,HR,1.3 Allowances auctioned or sold (EUAs and EUAAs),31000,units,81
2017,HR,1.3 Allowances auctioned or sold (EUAs and EUAAs),25000,units,81
2018,HR,1.3 Allowances auctioned or sold (EUAs and EUAAs),29000,units,81
2019,HR,1.3 Allowances auctioned or sold (EUAs and EUAAs),29500,units,81
2020,HR,1.3 Allowances auctioned or sold (EUAs and EUAAs),28000,units,81
2021,HR,1.3 Allowances auctioned or sold (EUAs and EUAAs),29000,units,81
2012,HR,2. Verified emissions,130931,tonne of CO2 equ.,81
2013,HR,2. Verified emissions,124782,tonne of CO2 equ.,81
2014,HR,2. Verified emissions,150608,tonne of CO2 equ.,81
2015,HR,2. Verified emissions,154276,tonne of CO2 equ.,81
2016,HR,2. Verified emissions,162454,tonne of CO2 equ.,81
2017,HR,2. Verified emissions,171297,tonne of CO2 equ.,81
2018,HR,2. Verified emissions,174695,tonne of CO2 equ.,81
2019,HR,2. Verified emissions,178606,tonne of CO2 equ.,81
2020,HR,2. Verified emissions,74828,tonne of CO2 equ.,81
2021,HR,2. Verified emissions,108788,tonne of CO2 equ.,81
2012,HR,2.1 EU-ETS Verified Emission,130931,tonne of CO2 equ.,81
2013,HR,2.1 EU-ETS Verified Emission,124782,tonne of CO2 equ.,81
2014,HR,2.1 EU-ETS Verified Emission,150608,tonne of CO2 equ.,81
2015,HR,2.1 EU-ETS Verified Emission,154276,tonne of CO2 equ.,81
2016,HR,2.1 EU-ETS Verified Emission,162454,tonne of CO2 equ.,81
2017,HR,2.1 EU-ETS Verified Emission,171297,tonne of CO2 equ.,81
2018,HR,2.1 EU-ETS Verified Emission,174695,tonne of CO2 equ.,81
2019,HR,2.1 EU-ETS Verified Emission,178606,tonne of CO2 equ.,81
2020,HR,2.1 EU-ETS Verified Emission,72905,tonne of CO2 equ.,81
2021,HR,2.1 EU-ETS Verified Emission,106437,tonne of CO2 equ.,81
2020,HR,2.2 Swiss Verified Emissions for aircraft operators,1923,tonne of CO2 equ.,81
2021,HR,2.2 Swiss Verified Emissions for aircraft operators,2351,tonne of CO2 equ.,81
2012,HR,4. Total surrendered units,130931,units,81
2014,HR,4. Total surrendered units,275390,units,81
2015,HR,4. Total surrendered units,154276,units,81
2016,HR,4. Total surrendered units,162454,units,81
2017,HR,4. Total surrendered units,171297,units,81
2018,HR,4. Total surrendered units,174695,units,81
2019,HR,4. Total surrendered units,178606,units,81
2020,HR,4. Total surrendered units,74828,units,81
2021,HR,4. Total surrendered units,108788,units,81
2012,HR,4.1 Surrendered EU allowances (EUAs and EUAAs),111292,units,81
2014,HR,4.1 Surrendered EU allowances (EUAs and EUAAs),275390,units,81
2015,HR,4.1 Surrendered EU allowances (EUAs and EUAAs),154276,units,81
2016,HR,4.1 Surrendered EU allowances (EUAs and EUAAs),162454,units,81
2017,HR,4.1 Surrendered EU allowances (EUAs and EUAAs),171297,units,81
2018,HR,4.1 Surrendered EU allowances (EUAs and EUAAs),174695,units,81
2019,HR,4.1 Surrendered EU allowances (EUAs and EUAAs),178606,units,81
2020,HR,4.1 Surrendered EU allowances (EUAs and EUAAs),72905,units,81
2021,HR,4.1 Surrendered EU allowances (EUAs and EUAAs),106545,units,81
2012,HR,4.3 Surrendered emission reduction units (ERUs),19639,units,81
2020,HR,4.4 Surrendered Units CHU/CHUAA,1923,units,81
2021,HR,4.4 Surrendered Units CHU/CHUAA,2243,units,81
2012,HU,1. Total allocated allowances (EUA or EUAA),1085442.437443991,units,81
2013,HU,1. Total allocated allowances (EUA or EUAA),740143,units,81
2014,HU,1. Total allocated allowances (EUA or EUAA),788143,units,81
2015,HU,1. Total allocated allowances (EUA or EUAA),881143,units,81
2016,HU,1. Total allocated allowances (EUA or EUAA),791643,units,81
2017,HU,1. Total allocated allowances (EUA or EUAA),780643,units,81
2018,HU,1. Total allocated allowances (EUA or EUAA),788143,units,81
2019,HU,1. Total allocated allowances (EUA or EUAA),788143,units,81
2020,HU,1. Total allocated allowances (EUA or EUAA),784973,units,81
2021,HU,1. Total allocated allowances (EUA or EUAA),645284,units,81
2012,HU,1.1 Freely allocated allowances,1097418,units,81
2013,HU,1.1 Freely allocated allowances,740143,units,81
2014,HU,1.1 Freely allocated allowances,740143,units,81
2015,HU,1.1 Freely allocated allowances,740143,units,81
2016,HU,1.1 Freely allocated allowances,740143,units,81
2017,HU,1.1 Freely allocated allowances,740143,units,81
2018,HU,1.1 Freely allocated allowances,740143,units,81
2019,HU,1.1 Freely allocated allowances,740143,units,81
2020,HU,1.1 Freely allocated allowances,738473,units,81
2021,HU,1.1 Freely allocated allowances,608784,units,81
2012,HU,1.1.1 Free allocation to existing entities (Art. 10a(1)),1097418,units,81
2013,HU,1.1.1 Free allocation to existing entities (Art. 10a(1)),740143,units,81
2014,HU,1.1.1 Free allocation to existing entities (Art. 10a(1)),740143,units,81
2015,HU,1.1.1 Free allocation to existing entities (Art. 10a(1)),740143,units,81
2016,HU,1.1.1 Free allocation to existing entities (Art. 10a(1)),740143,units,81
2017,HU,1.1.1 Free allocation to existing entities (Art. 10a(1)),740143,units,81
2018,HU,1.1.1 Free allocation to existing entities (Art. 10a(1)),740143,units,81
2019,HU,1.1.1 Free allocation to existing entities (Art. 10a(1)),740143,units,81
2020,HU,1.1.1 Free allocation to existing entities (Art. 10a(1)),734441,units,81
2021,HU,1.1.1 Free allocation to existing entities (Art. 10a(1)),604841,units,81
2020,HU,1.1.4 Swiss Free Allocated allowances for aircraft operators,4032,units,81
2021,HU,1.1.4 Swiss Free Allocated allowances for aircraft operators,3943,units,81
2012,HU,1.2 Correction to freely allocated allowances (not reflected in EUTL),-11975.56255600881,units,81
2012,HU,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2013,HU,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
