iso,YEAR,CO2_t,flights,months_obs,ets_covered,co2_per_flight,ln_co2,ln_flights,ln_intensity,post2012,did,year_x,gdp_pc,air_psgr,air_freight,tourism,ets_eur
CH,2020,2267072.916,115097,12,1,19.69706348558173,14.634000093065929,11.653530530078374,2.980469562987554,1,1,,,,,,24.8
CH,2021,2506345.93095,135677,12,1,18.472887305512355,14.734336445992762,11.818032339932225,2.916304106060537,1,1,,,,,,53.6
CH,2022,4336433.51045,214440,12,1,20.2221297819903,15.282562796451343,12.275785257941473,3.006777538509868,1,1,,,,,,81.0
CH,2023,5188584.35465,233221,12,1,22.247500673824398,15.461971453898586,12.35974178086206,3.1022296730365255,1,1,,,,,,83.0
CH,2024,5653589.54074,245151,12,1,23.06166216225918,15.547801218339382,12.409629626206282,3.1381715921330993,1,1,,,,,,65.0
CH,2025,5847950.30054,250775,12,1,23.319510718931312,15.581601781835968,12.432311401751686,3.149290380084281,1,1,,,,,,74.0
CY,2010,937876.946,31476,12,1,29.796573452789428,13.751374031749249,10.356980629654874,3.394393402094375,0,0,2010.0,31105.02734375,1583627.0,36.2141,2450000.0,14.0
CY,2011,975860.805,32473,12,1,30.0514521294614,13.791075237396472,10.388164253807057,3.4029109835894142,0,0,2011.0,32485.8046875,1263117.0,16.9749,2626000.0,13.0
CY,2012,911257.083,31399,12,1,29.021850472944998,13.722580335114303,10.354531324255456,3.368049010858847,1,1,2012.0,28991.9296875,1285976.0,9.1093,2635000.0,7.0
CY,2013,851011.122,28248,12,1,30.126420348343245,13.654180476800308,10.248777937608223,3.4054025391920857,1,1,2013.0,27764.7265625,1211208.0,11.592996,2626000.0,4.5
CY,2014,848209.018,29588,12,1,28.66733195890226,13.65088236789254,10.295124152707759,3.355758215184783,1,1,2014.0,26993.095703125,688368.0,6.588588,2558000.0,6.0
CY,2015,814352.508,30122,12,1,27.035140694508996,13.610148607753827,10.313011080771794,3.2971375269820316,1,1,2015.0,23088.4296875,23405.0,0.23060058,2780000.0,7.7
CY,2016,933992.423,36542,12,1,25.559422664331453,13.747223604758373,10.50621756297161,3.241006041786763,1,1,2016.0,24280.044921875,224653.0,0.285895446767606,3286000.0,5.4
CY,2017,1051858.217,40754,12,1,25.80993809196643,13.866068888482035,10.615309273360882,3.2507596151211535,1,1,2017.0,26247.46484375,711554.0,0.34031950189,3750000.0,5.8
CY,2018,1073508.011,42407,12,1,25.314405899969344,13.88644235877895,10.655068721933102,3.2313736368458494,1,1,2018.0,29120.38671875,401408.0,0.021,4024000.0,15.5
CY,2019,1051496.169,41361,12,1,25.422406832523393,13.865724630751636,10.63009368683974,3.2356309439118967,1,1,2019.0,29227.16796875,395436.0,0.14,4117000.0,24.9
CY,2020,404325.11,17263,12,1,23.421485836760702,12.909974561046312,9.756320761816548,3.153653799229762,1,1,2020.0,28130.330078125,104559.0,0.328962,,24.8
