year,member_state,verified_tco2,free_allocation_tco2,source
2013,PT,1183922.0,503817.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,RO,477818.0,314061.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,SE,2737347.0,1537511.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,SI,59807.0,38891.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2013,SK,22162.0,12065.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,AT,1028211.0,565298.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,BE,1287024.0,584799.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,BG,266926.0,198516.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,CY,107288.0,250519.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,CZ,393318.0,374780.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,DE,9010317.0,5190453.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,DK,572174.0,369177.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,EE,76098.0,33304.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,ES,5229792.0,2928705.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,FI,914529.0,493048.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,FR,3956155.0,2094006.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,GB,6183188.0,4102623.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,GR,824112.0,607342.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,HR,150608.0,85828.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,HU,1264980.0,740143.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,IE,7754256.0,5317800.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,IS,492560.0,194379.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,IT,4656028.0,2686316.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,LT,50404.0,12753.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,LU,222370.0,87650.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,LV,276379.0,198868.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,MT,226150.0,177402.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,NL,2303899.0,1242605.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,NO,2319433.0,894035.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,PL,629899.0,230749.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,PT,1230446.0,505886.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,RO,491218.0,314061.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,SE,2823996.0,1537503.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,SI,66206.0,38891.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2014,SK,24652.0,12065.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,AT,1022489.0,565277.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,BE,1356658.0,584644.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,BG,261531.0,198516.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,CY,2761.0,28.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
