country,year,month,airfare_index,source
BE,2016,9,100.17,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2016,10,101.07,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2016,11,101.37,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2016,12,101.52,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2017,1,101.63,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2017,2,103.22,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2017,3,102.74,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2017,4,101.68,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2017,5,102.64,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2017,6,100.55,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2017,7,101.03,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2017,8,100.98,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2017,9,101.01,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2017,10,101.71,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2017,11,101.8,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2017,12,102.75,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2018,1,102.53,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2018,2,104.66,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2018,3,103.89,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2018,4,102.59,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2018,5,103.46,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2018,6,101.53,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2018,7,101.76,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2018,8,101.51,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2018,9,102.56,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2018,10,102.04,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2018,11,102.8,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2018,12,103.94,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2019,1,103.56,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2019,2,105.37,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2019,3,104.5,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2019,4,103.46,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2019,5,105.15,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2019,6,103.93,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2019,7,102.75,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2019,8,103.26,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2019,9,103.8,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2019,10,104.39,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2019,11,104.09,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2019,12,105.13,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2020,1,104.98,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2020,2,107.84,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2020,3,106.07,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2020,4,105.11,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2020,5,107.0,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2020,6,106.08,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2020,7,106.38,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2020,8,105.55,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2020,9,106.47,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2020,10,106.74,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2020,11,107.11,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2020,12,107.79,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2021,1,107.54,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2021,2,110.25,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2021,3,108.42,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2021,4,107.7,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2021,5,109.1,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2021,6,107.5,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2021,7,107.45,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2021,8,107.88,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2021,9,108.66,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2021,10,109.86,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2021,11,110.57,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2021,12,111.34,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2022,1,111.59,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2022,2,114.91,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2022,3,113.55,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2022,4,113.19,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2022,5,114.93,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2022,6,113.54,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2022,7,113.39,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2022,8,113.54,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2022,9,115.19,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2022,10,117.58,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2022,11,117.84,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2022,12,119.45,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2023,1,121.27,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2023,2,125.43,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2023,3,124.0,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2023,4,121.88,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2023,5,124.34,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2023,6,123.21,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2023,7,122.71,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2023,8,122.64,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2023,9,122.52,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2023,10,123.69,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2023,11,124.76,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2023,12,125.93,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2024,1,127.95,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2024,2,128.78,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2024,3,128.42,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2024,4,125.69,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2024,5,127.41,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2024,6,126.29,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2024,7,127.78,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2024,8,126.39,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2024,9,126.54,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2024,10,127.55,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2024,11,126.86,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2024,12,127.69,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2010,1,98.2,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2010,2,98.98,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2010,3,99.98,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2010,4,98.19,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2010,5,98.51,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2010,6,97.38,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2010,7,97.07,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2010,8,97.08,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2010,9,97.39,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2010,10,98.15,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2010,11,98.83,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2010,12,99.76,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2011,1,100.02,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2011,2,101.04,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2011,3,101.3,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2011,4,99.56,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2011,5,99.62,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2011,6,98.19,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2011,7,97.66,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2011,8,98.02,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2011,9,99.46,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2011,10,99.79,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2011,11,100.51,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2011,12,101.34,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2012,1,102.23,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2012,2,102.53,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2012,3,103.04,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2012,4,101.26,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2012,5,100.49,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2012,6,99.62,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2012,7,99.11,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2012,8,98.6,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2012,9,99.16,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2012,10,99.77,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2012,11,99.74,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2012,12,100.37,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2013,1,100.47,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2013,2,101.88,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2013,3,103.21,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2013,4,101.3,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2013,5,100.53,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2013,6,100.9,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2013,7,100.83,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2013,8,100.8,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2013,9,101.01,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2013,10,101.47,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2013,11,101.57,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2013,12,100.92,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
