iso,YEAR,MONTH,CO2_t,flights,n_source,ets_covered,co2_per_flight,ln_co2,ln_flights,ln_intensity,post2012,did
ES,2013,9,1506657.075,76752,2,1,19.63019953877423,14.225403896969597,11.248334723741845,2.9770691732277523,1,1
ES,2013,10,1436162.868,72708,2,1,19.75247384056775,14.17748543998629,11.19420669873299,2.9832787412532995,1,1
ES,2013,11,1173844.476,57546,2,1,20.39836784485455,13.975794797000228,10.960339906956007,3.0154548900442224,1,1
ES,2013,12,1151252.914,55415,2,1,20.775113489127495,13.95636139771023,10.922605594209754,3.0337558035004775,1,1
ES,2014,1,1121941.256,55241,2,1,20.309937473977662,13.93057100718789,10.919460710183415,3.011110297004475,1,1
ES,2014,2,1042985.767,52281,2,1,19.94961395153115,13.857598087676951,10.864388295328752,2.9932097923481997,1,1
ES,2014,3,1223791.992,61899,2,1,19.7707877671691,14.0174647864363,11.03325930345334,2.9842054829829605,1,1
ES,2014,4,1394910.6400000001,71615,2,1,19.477911610696086,14.148340913838174,11.179059828213965,2.969281085624208,1,1
ES,2014,5,1490069.714,78082,2,1,19.083395840270484,14.214333464746584,11.26551483551302,2.948818629233564,1,1
ES,2014,6,1570204.282,82058,2,1,19.13529798435253,14.266716284783715,11.315181593288735,2.9515346914949814,1,1
ES,2014,7,1740549.04,90333,2,1,19.26814165365924,14.36971116164825,11.41125812115002,2.9584530404982288,1,1
ES,2014,8,1759205.284,90163,2,1,19.51138808602198,14.380372721856196,11.409374422339322,2.9709982995168733,1,1
ES,2014,9,1567422.189,81596,2,1,19.209546901808913,14.26494291006571,11.309535520142855,2.9554073899228555,1,1
ES,2014,10,1491878.41,76104,2,1,19.603153710711656,14.215546561786905,11.239856104886293,2.975690456900612,1,1
ES,2014,11,1183405.1090000002,58813,2,1,20.121488599459305,13.983906526436977,10.982118197885645,3.0017883285513305,1,1
ES,2014,12,1170437.303,57034,2,1,20.52174673002069,13.97288800018972,10.951402860214577,3.021485139975142,1,1
ES,2015,1,1135130.861,56041,2,1,20.2553641262647,13.942258498286805,10.933838844688593,3.008419653598212,1,1
ES,2015,2,1053718.996,53516,2,1,19.68979363181105,13.867836365326799,10.88773595359351,2.980100411733288,1,1
ES,2015,3,1240082.314,63280,2,1,19.596749589127686,14.030688317636079,11.055324602441535,2.9753637151945442,1,1
ES,2015,4,1400343.8150000002,72957,2,1,19.194098098880165,14.152228346577987,11.197625505481774,2.9546028410962113,1,1
ES,2015,5,1504779.423,80722,2,1,18.641503220931096,14.22415688263304,11.298766431727483,2.925390450905557,1,1
