iso,YEAR,MONTH,segment,nb_flights,co2_t,co2_per_flight
DK,2021,4,lowcost,1741,1869.3000000000002,1.0736932797242964
DK,2021,4,mainline,12432,24025.200000000008,1.9325289575289581
DK,2021,4,other,7899,5455.399999999999,0.690644385365236
DK,2021,4,regional,7359,3591.6,0.488055442315532
DK,2021,5,business,3572,1109.9000000000003,0.31072228443449057
DK,2021,5,cargo,4274,7937.400000000002,1.857136172204025
DK,2021,5,lowcost,2333,2522.0,1.0810115730818688
DK,2021,5,mainline,10444,25834.999999999996,2.4736690923017997
DK,2021,5,other,10281,6481.099999999996,0.6303958758875592
DK,2021,5,regional,8163,4216.299999999999,0.5165135366899424
DK,2021,6,business,5259,1667.8000000000004,0.317132534702415
DK,2021,6,cargo,3387,8173.599999999999,2.413227044582226
DK,2021,6,lowcost,6972,8447.9,1.211689615605278
DK,2021,6,mainline,16929,32413.90000000003,1.914696674345799
DK,2021,6,other,12529,7715.299999999997,0.6157953547769174
DK,2021,6,regional,10717,5026.8,0.46904917420920034
DK,2021,7,business,6259,1758.0,0.28087553922351816
DK,2021,7,cargo,3675,8586.699999999997,2.3365170068027203
DK,2021,7,lowcost,14223,16785.600000000006,1.180172959291289
DK,2021,7,mainline,30728,44352.19999999999,1.4433806300442589
DK,2021,7,other,13072,7838.599999999998,0.5996481028151773
DK,2021,7,regional,15155,8143.000000000002,0.5373144176839328
DK,2021,8,business,6296,2112.199999999999,0.33548284625158814
DK,2021,8,cargo,3584,8296.499999999998,2.314871651785714
DK,2021,8,lowcost,16472,19532.300000000003,1.1857880038853814
DK,2021,8,mainline,27020,45570.69999999996,1.6865544041450762
DK,2021,8,other,14090,8370.799999999994,0.5940951029098647
DK,2021,8,regional,17710,8803.7,0.4971033314511576
DK,2021,9,business,6880,2276.1999999999985,0.3308430232558137
DK,2021,9,cargo,3720,8429.2,2.265913978494624
DK,2021,9,lowcost,18695,22693.200000000004,1.2138646696977804
DK,2021,9,mainline,39915,48008.70000000007,1.2027733934611067
DK,2021,9,other,13965,8407.699999999995,0.6020551378446112
DK,2021,9,regional,20254,10081.800000000001,0.49776834205589027
DK,2021,10,business,6627,2080.1,0.3138826014787988
DK,2021,10,cargo,3998,8924.900000000001,2.232341170585293
DK,2021,10,lowcost,20461,25421.300000000007,1.2424270563511073
DK,2021,10,mainline,35526,51671.19999999996,1.454461521139446
DK,2021,10,other,15385,10432.099999999993,0.6780695482612931
DK,2021,10,regional,22090,10192.6,0.46141240380262566
DK,2021,11,business,5896,1993.4000000000005,0.3380936227951154
DK,2021,11,cargo,4252,10404.499999999996,2.446966133584195
DK,2021,11,lowcost,18508,23726.1,1.281937540523017
DK,2021,11,mainline,25974,50040.29999999999,1.9265534765534762
DK,2021,11,other,13485,9885.1,0.7330441230997404
DK,2021,11,regional,22553,10245.000000000002,0.4542632909147343
DK,2021,12,business,3373,1427.6000000000001,0.4232434034983694
DK,2021,12,cargo,4178,9766.4,2.33757778841551
DK,2021,12,lowcost,20208,26262.600000000002,1.2996140142517816
DK,2021,12,mainline,25846,50862.40000000002,1.9679021898939884
DK,2021,12,other,12695,10353.9,0.8155888144938952
DK,2021,12,regional,19856,9946.9,0.5009518533440773
DK,2022,1,business,3281,1329.6000000000004,0.40524230417555634
DK,2022,1,cargo,5426,9926.899999999998,1.829506081828234
DK,2022,1,lowcost,14986,19508.70000000002,1.3017950086747643
DK,2022,1,mainline,30459,46781.299999999996,1.5358777372861878
DK,2022,1,other,16055,12130.600000000002,0.7555652444721273
DK,2022,1,regional,15622,7710.6,0.4935731660478812
DK,2022,2,business,5387,1612.2999999999993,0.2992945981065527
DK,2022,2,cargo,3487,8774.0,2.516203039862346
DK,2022,2,lowcost,18513,19855.8,1.072532814778804
DK,2022,2,mainline,26672,39513.70000000001,1.4814674565086987
DK,2022,2,other,12773,10930.600000000006,0.8557582400375797
DK,2022,2,regional,13948,7556.9,0.5417909377688557
DK,2022,3,business,5219,1737.6000000000022,0.3329373443188354
DK,2022,3,cargo,3857,8260.300000000003,2.141638579206638
DK,2022,3,lowcost,20074,26356.799999999985,1.3129819667231237
