unit,att_classic,att_aug,ridge_lam,rmspe_pre,rmspe_post,rmspe_ratio,n_pre,pre_mse,weights_json
GB,-0.29994868993464024,-0.05157204523514116,0.01,0.1714267552269327,0.33354059023394395,1.9456740564937303,23,37.10227436460243,{'TR': 1.0}
HR,0.01982353763779456,-0.00017253325383279985,0.01,0.20662938501923359,0.23561802362188228,1.1402929142916935,23,0.9827634138532422,"{'MC': 0.0096, 'ME': 0.7044, 'TR': 0.2861}"
HU,-0.22451804558393365,-0.10175431192104743,0.01,0.06758097852771965,0.253527640803251,3.75146448492547,23,0.10505307142144708,"{'AM': 0.0455, 'BA': 0.1281, 'RS': 0.1033, 'TR': 0.435, 'XK': 0.2881}"
IE,-0.04532575080931397,-0.0004518445285945927,0.01,0.10884924014432551,0.1198676778216037,1.1012265925115197,23,0.27261423412959734,"{'TR': 0.6629, 'XK': 0.3371}"
IS,0.2558015001503179,0.15879082765371152,0.01,0.1314507767864933,0.36699208150216633,2.7918593596312253,23,0.39742591303893593,"{'ME': 0.0954, 'MK': 0.4668, 'RS': 0.2721, 'TR': 0.1656}"
IT,-0.3545395370347985,-0.057333737132703365,0.01,0.15108876338795693,0.36999889632005983,2.4488842718898836,23,2.942250952596448,{'TR': 1.0}
LT,0.1360082419429309,0.04530082492410279,0.01,0.101791277131121,0.19086601004283063,1.8750723580859414,23,0.23831524586614777,"{'AM': 0.364, 'BA': 0.2887, 'MD': 0.0906, 'RS': 0.1327, 'TR': 0.124}"
LU,-0.07582235678106809,-0.012883759785454729,0.01,0.19071793815735774,0.2142664413944957,1.1234729331947189,23,0.8369199920454149,"{'AM': 0.1025, 'TR': 0.5319, 'XK': 0.3656}"
MT,-0.21466088449284434,-0.1321150271720831,0.01,0.07432923493708721,0.24081909568364823,3.2398974089734573,23,0.1270715961407528,"{'AM': 0.0282, 'BA': 0.2394, 'MC': 0.0839, 'MD': 0.1419, 'RS': 0.1083, 'TR': 0.3982}"
NL,-0.2944647980795972,-0.05238593647184678,0.01,0.17926605929211328,0.33447244124090625,1.8657878828913443,23,0.8508603418906298,{'TR': 1.0}
NO,-0.15986989714197022,-0.046921339311486156,0.01,0.1485278691175157,0.22734898123325628,1.5306823061830712,23,0.5075758200202235,"{'TR': 0.7278, 'XK': 0.2722}"
PL,0.01440241527412156,0.013647587894464047,0.01,0.06283141589387096,0.11082267496113202,1.763809925091032,23,0.09082549983070577,"{'BA': 0.1029, 'TR': 0.6425, 'XK': 0.2546}"
PT,-0.09532653814570356,-0.012207966966813996,0.01,0.0977695144987929,0.12074781896373271,1.2350252487468731,23,0.22001860484379943,"{'TR': 0.7701, 'XK': 0.2299}"
RO,-0.013464043375151225,0.004355230287972209,0.01,0.10678556049817549,0.13465439720565292,1.2609794486957213,23,0.2623459369023316,"{'AM': 0.1256, 'BA': 0.0228, 'TR': 0.4706, 'XK': 0.3809}"
SE,-0.23483422452060534,-0.057707301836990944,0.01,0.19335961258898046,0.2942418291267463,1.5217336505126775,23,0.860247041755895,"{'RS': 0.0898, 'TR': 0.7266, 'XK': 0.1836}"
SI,-0.46223258266019096,-0.39284914985757413,0.01,0.07318447977985122,0.5608389207879416,7.663358713145474,23,0.12318796954993926,"{'AL': 0.0534, 'BA': 0.4249, 'MC': 0.0159, 'MD': 0.1652, 'ME': 0.0915, 'RS': 0.1147, 'TR': 0.1345}"
SK,-0.24017486710817293,-0.15402496690565198,0.01,0.10135887488816188,0.2755289413013484,2.71835043162588,23,0.23629439779693776,"{'AL': 0.166, 'BA': 0.3164, 'ME': 0.3774, 'TR': 0.1402}"
